SAMPLE_DATE,SUM,MEAN,COUNT
7/22/2015,2.224,0.030054054,74
7/28/2015,3.209,0.046507246,69
7/29/2015,0.592,0.00344186,172
8/10/2015,0.522,0.005326531,98
8/11/2015,0.635,0.007650602,83
8/12/2015,0.991,0.006232704,159
8/13/2015,1.42825,0.01057963,135
8/14/2015,0.826,0.004279793,193
8/18/2015,1.17995,0.012687634,93
8/19/2015,0.6472,0.005531624,117
8/20/2015,1.6376,0.030898113,53
8/24/2015,19.45306,0.249398205,78
8/25/2015,0.311,0.007775,40
8/26/2015,1.2264,0.013626667,90
8/27/2015,1.3275,0.004059633,327
8/28/2015,0,0,1
8/31/2015,0.069,0.004928571,14
9/1/2015,4.63005,0.118719231,39
9/2/2015,7.6436,0.201147368,38
9/3/2015,2.99915,0.029403431,102
9/8/2015,1.78655,0.020301705,88
9/9/2015,21.52315,0.10200545,211
9/14/2015,1.29529,0.011070855,117
9/15/2015,1.09005,0.005396287,202
9/16/2015,0.87366,0.006152535,142
9/18/2015,1.14,0.009421488,121
9/22/2015,1.30361,0.016295125,80
9/23/2015,4.2315,0.019234091,220
7/8/2016,1.994,0.044311111,45
7/18/2016,0.265,0.003397436,78
7/20/2016,0.39,0.003333333,117
7/27/2016,0.909,0.006635036,137
7/28/2016,0.171,0.002514706,68
8/2/2016,0.318,0.002606557,122
8/9/2016,0.552,0.007263158,76
8/15/2016,2.106,0.004608315,457
8/16/2016,2.58155,0.011473556,225
8/17/2016,2.18975,0.008794177,249
8/18/2016,17.37235,0.110651911,157
8/22/2016,6.8769,0.0955125,72
8/24/2016,16.04984,0.25077875,64
8/25/2016,0.3574,0.007293878,49
8/26/2016,0.1978,0.0086,23
8/30/2016,0.88435,0.011485065,77
8/31/2016,1.05865,0.006119364,173
9/1/2016,0.06523,0.021743333,3
9/7/2016,0.05755,0.001918333,30
9/8/2016,1.18005,0.007613226,155
9/9/2016,0.1894,0.006109677,31
9/12/2016,1.5506,0.005807491,267
9/13/2016,1.14015,0.004270225,267
9/14/2016,0.255,0.004811321,53
9/16/2016,0.2905,0.011173077,26
9/20/2016,4.46345,0.178538,25
9/23/2016,3.66665,0.094016667,39
7/18/2017,0.95,0.015322581,62
7/19/2017,0.074,0.00296,25
8/8/2017,2.4146,0.03095641,78
8/9/2017,1.588,0.026466667,60
8/14/2017,2.194,0.005850667,375
8/15/2017,1.95455,0.008281992,236
8/16/2017,1.35835,0.006593932,206
8/17/2017,5.45185,0.037087415,147
8/21/2017,7.70236,0.175053636,44
8/22/2017,2.0315,0.017665217,115
8/23/2017,0.295,0.0118,25
8/24/2017,0.144,0.0045,32
8/28/2017,3.31375,0.150625,22
8/30/2017,18.51916,0.156942034,118
8/31/2017,0.7188,0.015626087,46
9/5/2017,0.2931,0.006513333,45
9/6/2017,0.58285,0.005714216,102
9/8/2017,3.29715,0.01471942,224
9/12/2017,0.37205,0.003292478,113
9/13/2017,0.46645,0.003887083,120
9/15/2017,20.17852,0.2017852,100
9/18/2017,0.013,0.001625,8
9/21/2017,0.51365,0.003379276,152
9/22/2017,0.48675,0.003160714,154
9/25/2017,0.01705,0.00155,11
7/23/2018,0.715,0.019324324,37
7/25/2018,0.566,0.047166667,12
7/31/2018,9.919,0.206645833,48
8/2/2018,0.221,0.003298507,67
8/7/2018,4.334,0.073457627,59
8/8/2018,0.583,0.002959391,197
8/13/2018,1.528,0.004658537,328
8/14/2018,1.17,0.006062176,193
8/15/2018,0.085,0.002361111,36
8/16/2018,0.09229,0.002050889,45
8/20/2018,0.035,0.001944444,18
8/21/2018,0.2445,0.004613208,53
8/22/2018,1.14515,0.011685204,98
8/23/2018,2.54215,0.027632065,92
8/24/2018,0.219,0.003268657,67
8/28/2018,0.23592,0.009073846,26
8/29/2018,1.80595,0.010686095,169
8/30/2018,2.6622,0.0212976,125
9/4/2018,22.01243,0.431616275,51
9/5/2018,0.243,0.002761364,88
9/6/2018,0.265,0.008548387,31
9/10/2018,0.41545,0.009891667,42
9/11/2018,0.23075,0.004909574,47
9/12/2018,0.3822,0.007494118,51
9/15/2018,0.049,0.005444444,9
9/19/2018,10.28939,0.285816389,36
9/21/2018,0.2783,0.006184444,45
9/22/2018,0.0013,0.000433333,3
9/25/2018,0.48825,0.007875,62
9/26/2018,0.7223,0.004571519,158
9/27/2018,1.45885,0.014027404,104
9/28/2018,19.1503,0.210442857,91
7/16/2019,0.232,0.008923077,26
7/17/2019,2.415,0.015888158,152
7/18/2019,0.192,0.002526316,76
7/22/2019,1.714,0.025205882,68
7/24/2019,4.794,0.07490625,64
7/25/2019,0.289,0.00352439,82
