LBL,Aggregate_grp,Aggregate_grp2,Func_grp,General_grouping,Family,Order,Class ,TSN,NODC_CODE
cryptochironomus parafulvus,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,,
Cryptochironomus spp.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,#N/A,
culicidae,insect,insect,insect,insect,Chironomidae,Diptera          ,Insecta       ,,
curculionidae,insect,insect,insect,insect,Curculionidae,Coleoptera,Insecta,,
cyathura burbancki,isopods,isopods,small_crust,amphipods_isopods,Anthuridae      ,Isopoda         ,Malacostraca,,
Cyathura polita,isopods,isopods,small_crust,amphipods_isopods,Anthuridae      ,Isopoda         ,Malacostraca,92149,
Cyathura spp.,isopods,isopods,small_crust,amphipods_isopods,Anthuridae      ,Isopoda         ,Malacostraca,#N/A,
Cyclaspis varians,cumacean,small_crust,small_crust,cumacean,Bodotriidae,Cumacea,Malacostraca,91033,
Cylichnella bidentata,gastropod,gastropod,Gastropods,gastropod,Cylichnidae,Cephalaspidea,Gastropoda,76141,
cymadusa compta,amphipods,amphipods,small_crust,amphipods_isopods,Ampithoidae,Amphipoda,Malacostraca,,
cyrnellus fraternus,insect,insect,insect,insect,Polycentropodidae,Trichoptera,Insecta,,
cyrnellus spp.,insect,insect,insect,insect,Polycentropodidae,Trichoptera,Insecta,,
Cyrtopleura costata,other_bivalves,Large_bivalve,bivalves,bivalve,Pholadidae,Myoida          ,Bivalvia         ,81796,
Decapoda,.,.,.,decapod,.,Decapoda,Malacostraca,95599,
Demonax microphthalmus,polychaete,polychaete,worms,polychaete,Sabellidae,Canalipalpata,Polychaeta,68222,
Dero spp.,oligocheate,oligocheate,worms,oligocheate,Naididae     ,Tubificida,Oligochaeta,#N/A,
Diadumene leucolena,anemone,anemone,cnidaria,cnidaria,Diadumenidae,Actiniaria ,Anthozoa,52749,
diastylis polita,cumacean,small_crust,small_crust,cumacean,Diastylidae,Cumacea,Malacostraca,,
dicrotendipes neomodestus,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,129452,
Dicrotendipes nervosus,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,129452,
dicrotendipes spp.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,,
Diopatra cuprea,polychaete,polychaete,worms,polychaete,Onuphidae,Eunicida  ,Polychaeta,66180,
Dipolydora caulleryi,polychaete,polychaete,worms,polychaete,Spionidae   ,Spionida ,Polychaeta,#N/A,
dipolydora commensalis,polychaete,polychaete,worms,polychaete,Spionidae   ,Spionida ,Polychaeta,,
Dipolydora quadrilobata,polychaete,polychaete,worms,polychaete,Spionidae   ,Spionida ,Polychaeta,#N/A,
Dipolydora socialis,polychaete,polychaete,worms,polychaete,Spionidae   ,Spionida ,Polychaeta,#N/A,
donax variabilis,other_bivalves,Small_bivalve,bivalves,bivalve,Donacidae,Cardiida,Bivalvia         ,,
Doridella obscura,gastropod,gastropod,Gastropods,nudibranch,Corambidae,Nudibranchia,Gastropoda,78439,
Dorvillea rudolphi,polychaete,polychaete,worms,polychaete,Dorvilleidae,Eunicida  ,Polychaeta,66525,
Dosinia discus,other_bivalves,Large_bivalve,bivalves,bivalve,Venerida   ,Veneroida  ,Bivalvia         ,81489,
Drilonereis longa,polychaete,polychaete,worms,polychaete,Oenonidae,Eunicida  ,Polychaeta,66426,
Drilonereis magna,polychaete,polychaete,worms,polychaete,Oenonidae,Eunicida  ,Polychaeta,66431,
Drilonereis spp.,polychaete,polychaete,worms,polychaete,Oenonidae,Eunicida  ,Polychaeta,#N/A,
Dromogomphus armatus,insect,insect,insect,insect,Gomphidae,odonata     ,Insecta       ,101731,
Dubiraphia spp.,insect,insect,insect,insect,Elmidae       ,Coleoptera,Insecta       ,#N/A,
dugesia spp.,flatworm,other_worms,worms,flatworm,Dugesiidae,Tricladida,Rhabditophora,,
dugesia tigrina,flatworm,other_worms,worms,flatworm,Dugesiidae,Tricladida,Rhabditophora,,
dulichiella appendiculata,amphipods,amphipods,small_crust,amphipods_isopods,Melitidae ,Amphipoda,Malacostraca,,
Dyspanopeus sayi,decapod_crab,large_decapod,decapod_crab,decapod_crab,Panopeidae,Decapoda,Malacostraca,98901,
Echinoidea,.,echinoderm,echinoderm,echinoderm,.,.,.,157821,
Echiura,other_worms,other_worms,worms,worm_annelid,.                        ,Echiura          ,Polychaeta,154972,
Edotea triloba,isopods,isopods,small_crust,amphipods_isopods,Idoteidae   ,Isopoda         ,Malacostraca,92627,
Edwardsia elegans,gelatinous_zooplankton,gelatinous_zooplankton,gelatinous_zooplankton,cnidaria,Edwardsiidae,Actiniaria ,Anthozoa,52489,
Elasmopus laevis,amphipods,amphipods,small_crust,amphipods_isopods,Maeridae  ,Amphipoda,Malacostraca,93761,
Elliptio complanata,other_bivalves,Large_bivalve,bivalves,bivalve,Unionidae,Unionoida ,Bivalvia         ,79952,
Elmidae,insect,insect,insect,insect,Elmidae       ,Coleoptera,Insecta       ,114093,
empididae,insect,chironomid,insect,insect,Empididae,Diptera          ,Insecta       ,,
Enallagma spp.,insect,insect,insect,insect,Coenagriionidae,odonata     ,Insecta       ,#N/A,
Enchytraeidae,oligocheate,oligocheate,worms,oligocheate,Enchytraeidae,Tubificida,Oligochaeta,68510,
Ensis directus,Razor_clams,Large_bivalve,bivalves,bivalve,Pharidae     ,Adapedonta,Bivalvia         ,81022,
eobrolgus spinosus,amphipods,amphipods,small_crust,amphipods_isopods,Phoxocephallidae,Amphipoda,Malacostraca,,
ephemeroptera,insect,insect,insect,insect,.,Ephemeroptera,Insecta,,
Epitonium multistriatum,gastropod,gastropod,Gastropods,gastropod,Epitoniidae,Caenongastropoda,Gastropoda,72247,
Epitonium rupicola,gastropod,gastropod,Gastropods,gastropod,Epitoniidae,Caenongastropoda,Gastropoda,72249,
Epitonium spp.,gastropod,gastropod,Gastropods,gastropod,Epitoniidae,Caenongastropoda,Gastropoda,#N/A,
Epoicocladius spp.,insect,chironomid,insect,chironomid,Chironomidae         ,Diptera          ,Insecta       ,#N/A,
Erichsonella attenuata,isopods,isopods,small_crust,amphipods_isopods,Idoteidae   ,Isopoda         ,Malacostraca,92618,
Erichsonella filiformis,isopods,isopods,small_crust,amphipods_isopods,Idoteidae   ,Isopoda         ,Malacostraca,92619,
Ericthonius brasiliensi,amphipods,amphipods,small_crust,amphipods_isopods,Ischyroceridae,Amphipoda,Malacostraca,#N/A,
ericthonius brasiliensis,amphipods,amphipods,small_crust,amphipods_isopods,Ischyroceridae,Amphipoda,Malacostraca,,
Eteone foliosa,polychaete,polychaete,worms,polychaete,Phyllodocidae,Phyllodocida,Polychaeta,65270,
Eteone heteropoda,polychaete,polychaete,worms,polychaete,Phyllodocidae,Phyllodocida,Polychaeta,65266,
Eteone lactea,polychaete,polychaete,worms,polychaete,Phyllodocidae,Phyllodocida,Polychaeta,65267,
eteone longa,polychaete,polychaete,worms,polychaete,Phyllodocidae,Phyllodocida,Polychaeta,,
Euceramus praelongus,decapod_crab,large_decapod,decapod_crab,decapod_crab,Porcellanidae,Decapoda,Malacostraca,98081,
Euclymene zonalis,polychaete,polychaete,worms,polychaete,Maldanidae,Scolecida,Polychaeta,67586,
eumida sanguinea,polychaete,polychaete,worms,polychaete,Phyllodocidae,Phyllodocida,Polychaeta,,
Eunicea spp.,coral,coral,cnidaria,cnidaria,Plexauridae,Alcyonacea,Anthozoa,#N/A,
Euplana gracilis,flatworm,other_worms,worms,flatworm,Euplanidae,Polycladida,Rhabditophora,54139,
Eurypanopeus depressus,decapod_crab,large_decapod,decapod_crab,decapod_crab,Panopeidae,Decapoda,Malacostraca,98759,
Exogone dispar,polychaete,polychaete,worms,polychaete,Syllidae   ,Phyllodocida,Polychaeta,65722,
exosphaeroma spp.,isopods,isopods,small_crust,amphipods_isopods,Sphaeromatidae,Isopoda         ,Malacostraca,,
