LBL,Aggregate_grp,Aggregate_grp2,Func_grp,General_grouping,              Family,             Order ,Class ,TSN,NODC_CODE
Pisidium spp.,other_bivalves,Small_bivalve,bivalves,bivalve,Sphaeriidae,veneroida  ,Bivalvia         ,#N/A,
semele purpurascens,other_bivalves,Small_bivalve,bivalves,bivalve,Semelidae,Cardiida,Bivalvia         ,,
Solemya velum,other_bivalves,Small_bivalve,bivalves,bivalve,Solemyidae,Solemyoida,Bivalvia         ,79316,
Sphaeriidae,other_bivalves,Small_bivalve,bivalves,bivalve,Sphaeriidae,Veneroida  ,Bivalvia         ,81389,
Sphaerium spp.,other_bivalves,Small_bivalve,bivalves,bivalve,Sphaeriidae,Veneroida  ,Bivalvia         ,#N/A,
Tellina agilis,other_bivalves,Small_bivalve,bivalves,bivalve,Tellinidae   ,Cardida      ,Bivalvia         ,81088,
Tellinidae,other_bivalves,Small_bivalve,bivalves,bivalve,Tellinidae   ,Cardida      ,Bivalvia         ,81032,
Ensis directus,Razor_clams,Large_bivalve,bivalves,bivalve,Pharidae     ,Adapedonta,Bivalvia         ,81022,
siliqua costata,Razor_clams,Large_bivalve,bivalves,bivalve,Pharidae     ,Adapedonta,Bivalvia         ,,
Tagelus divisus,Razor_clams,Large_bivalve,bivalves,bivalve,Solecurtidae,Cardiida    ,Bivalvia         ,81274,
Tagelus plebeius,Razor_clams,Large_bivalve,bivalves,bivalve,Solecurtidae,Cardiida    ,Bivalvia         ,81272,
Hutchinsoniella macraca,.,.,.,brachypoda,Hutchinsoniella ,Brachypoda,Cephalocarida,#N/A,
hutchinsoniella macracantha,.,.,.,brachypoda,Hutchinsoniella ,Brachypoda,Cephalocarida,,
ablabesmyia mallochi,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,,
Ablabesmyia parajanta,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,128112,
Ablabesmyia spp.,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,#N/A,
axarus spp.,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,,
Chironomidae,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,127917,
Chironomidae pupae,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,#N/A,
Chironomini,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,129229,
Chironomus spp.,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,#N/A,
Cladotanytarsus spp.,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,#N/A,
cladotanytarsus spp. b epler,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,#N/A,
cladotanytarsus viridiventris,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,129877,
Clinotanypus pinguis,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,127998,
Coelotanypus spp.,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,#N/A,
cricotopus bicinctus,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,,
Cricotopus sylvestris,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,128645,
cricotopus/orthocladius grp.,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,,
Cryptochironomus fulvus,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,129376,
Cryptochironomus parafu,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,#N/A,
cryptochironomus parafulvus,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,,
Cryptochironomus spp.,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,#N/A,
dicrotendipes neomodestus,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,129452,
Dicrotendipes nervosus,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,129452,
dicrotendipes spp.,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,,
empididae,insect,insect,insect,insect,Empididae,Diptera          ,Insecta       ,,
Epoicocladius spp.,chironomid,chironomid,insect,chironomid,Chironomidae         ,Diptera          ,Insecta       ,#N/A,
Glyptotendipes spp.,chironomid,chironomid,insect,chironomid,Chironomidae      ,Diptera          ,Insecta       ,#N/A,
kiefferulus spp.,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera,Insecta,,
labrundinia spp.,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera,Insecta,,
lipiniella spp.,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera,Insecta,,
Nanocladius distinctus,chironomid,chironomid,insect,chironomid,Chironomidae          ,Diptera          ,Insecta       ,128853,
nanocladius spp.,chironomid,chironomid,insect,chironomid,Chironomidae          ,Diptera          ,Insecta       ,,
Natarsia spp.,chironomid,chironomid,insect,chironomid,Chironomidae        ,Diptera          ,Insecta       ,#N/A,
Orthocladiinae,chironomid,chironomid,insect,chironomid,Chironomidae    ,Diptera          ,Insecta       ,128457,
parametriocnemus spp.,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera,Insecta,,
Polypedilum convictum,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,129671,
Polypedilum halterale g,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,#N/A,
polypedilum halterale group,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,,
Polypedilum illinoense,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,129686,
polypedilum illinoense group,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,,
polypedilum scalaenum group,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,,
polypedilum simulans/digitifer,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,,
Polypedilum spp.,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,#N/A,
Procladius spp.,chironomid,chironomid,insect,chironomid,Chironomidae      ,Diptera             ,Insecta       ,#N/A,
Procladius sublettei,chironomid,chironomid,insect,chironomid,Chironomidae      ,Diptera             ,Insecta       ,128316,
Pseudochironomus fulviv,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,#N/A,
pseudochironomus fulviventris,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,,
Rheotanytarsus spp.,chironomid,chironomid,insect,chironomid,Chironominae,Diptera             ,Insecta       ,#N/A,
Stictochironomus caffar,chironomid,chironomid,insect,chironomid,Chironomidae          ,Diptera             ,Insecta       ,#N/A,
stictochironomus caffarius,chironomid,chironomid,insect,chironomid,Chironomidae          ,Diptera             ,Insecta       ,,
Stictochironomus spp. g,chironomid,chironomid,insect,chironomid,Chironomidae          ,Diptera             ,Insecta       ,#N/A,
stictochironomus spp. group,chironomid,chironomid,insect,chironomid,Chironomidae          ,Diptera             ,Insecta       ,,
Tanypus neopunctipennis,chironomid,chironomid,insect,chironomid,Chironomidae          ,Diptera             ,Insecta       ,128329,
Tanypus spp.,chironomid,chironomid,insect,chironomid,Chironomidae          ,Diptera             ,Insecta       ,#N/A,
tanypus stellatus,chironomid,chironomid,insect,chironomid,Chironomidae          ,Diptera             ,Insecta       ,,
Tanytarsini,chironomid,chironomid,insect,chironomid,Chironomidae          ,Diptera             ,Insecta       ,129872,
Tanytarsus spp.,chironomid,chironomid,insect,chironomid,Chironomidae          ,Diptera             ,Insecta       ,#N/A,
Tanytarsus spp. G Epler,chironomid,chironomid,insect,chironomid,Chironomidae          ,Diptera             ,Insecta       ,#N/A,
Thienemannimyia group,chironomid,chironomid,insect,chironomid,Chironomidae          ,Diptera             ,Insecta       ,#N/A,
Xenochironomus spp.,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta          ,#N/A,
parachironomus spp.,chironomid,chironomid,insect,chironomid,Chironomidae,Diptera,Insecta,,
Anthozoa,.,.,.,cnidaria,.,.,.,51938,
Ceriantheopsis american,.,.,.,cnidaria,Cerianthidae,Spirularia,Anthozoa      ,#N/A,
ceriantheopsis americanus,.,.,.,cnidaria,Cerianthidae,Spirularia,Anthozoa      ,#N/A,
Diadumene leucolena,.,.,.,cnidaria,Diadumenidae,Actiniaria ,Anthozoa,52749,
Edwardsia elegans,.,.,.,cnidaria,Edwardsiidae,Actiniaria ,Anthozoa,52489,
Eunicea spp.,.,.,.,cnidaria,Plexauridae,Alcyonacea,Anthozoa,#N/A,
haloclava producta,.,.,.,cnidarian,Haloclavidae,Actiniaria ,anthozoa,,
Almyracuma proximoculi,small_crust,small_crust,small_crust,cumacean,Nannastacidae,Cumacea,Malacostraca,90979,
Cyclaspis varians,small_crust,small_crust,small_crust,cumacean,Bodotriidae,Cumacea,Malacostraca,91033,
diastylis polita,small_crust,small_crust,small_crust,cumacean,Diastylidae,Cumacea,Malacostraca,,
Leucon americanus,small_crust,small_crust,small_crust,cumacean,Leuconidae,Cumacea,Malacostraca,90790,
mancocuma stellifera,small_crust,small_crust,small_crust,cumacean,Bodotriidae,Cumacea,Malacostraca,,
Oxyurostylis smithi,small_crust,small_crust,small_crust,cumacean,Diastylidae,Cumacea,Malacostraca,90923,
Pseudoleptocuma minor,small_crust,small_crust,small_crust,cumacean,Bodotriidae,Cumacea,Malacostraca,91040,
Decapoda,.,.,.,decapod,.,Decapoda,Malacostraca,95599,
Callinectes sapidus,decapod_crab,large_decapod,decapod_crab,decapod_crab,Portunidae,Decapoda,Malacostraca,98696,
Brachyura,decapod_crab,large_decapod,decapod_crab,decapod_crab,.,Decapoda,Malacostraca,98276,
Brachyuran zoea,decapod_crab,large_decapod,decapod_crab,decapod_crab,.,Decapoda,Malacostraca,#N/A,
Dyspanopeus sayi,decapod_crab,large_decapod,decapod_crab,decapod_crab,Panopeidae,Decapoda,Malacostraca,98901,
Euceramus praelongus,decapod_crab,large_decapod,decapod_crab,decapod_crab,Porcellanidae,Decapoda,Malacostraca,98081,
Eurypanopeus depressus,decapod_crab,large_decapod,decapod_crab,decapod_crab,Panopeidae,Decapoda,Malacostraca,98759,
Hexapanopeus angustifro,decapod_crab,large_decapod,decapod_crab,decapod_crab,Panopeidae,Decapoda,Malacostraca,#N/A,
hexapanopeus angustifrons,decapod_crab,large_decapod,decapod_crab,decapod_crab,Panopeidae,Decapoda,Malacostraca,,
ovalipes ocellatus,decapod_crab,large_decapod,decapod_crab,decapod_crab,Ovalipidae,Decapoda,Malacostraca,,
pagurus acadianus,decapod_crab,large_decapod,decapod_crab,decapod_crab,Paguridae,Decapoda ,Malacostraca,,
Pagurus annulipes,decapod_crab,large_decapod,decapod_crab,decapod_crab,Paguridae,Decapoda ,Malacostraca,97804,
Pagurus longicarpus,decapod_crab,large_decapod,decapod_crab,decapod_crab,Paguridae,Decapoda ,Malacostraca,97807,
pagurus pubescens,decapod_crab,large_decapod,decapod_crab,decapod_crab,Paguridae,Decapoda ,Malacostraca,,
Pagurus spp.,decapod_crab,large_decapod,decapod_crab,decapod_crab,Paguridae,Decapoda ,Malacostraca,#N/A,
Pinnixa chaetopterana,decapod_crab,large_decapod,decapod_crab,decapod_crab,Pinnotheridae,Decapoda ,Malacostraca,98998,
pinnixa lunzi,decapod_crab,large_decapod,decapod_crab,decapod_crab,Pinnotheridae,Decapoda ,Malacostraca,,
Pinnixa retinens,decapod_crab,large_decapod,decapod_crab,decapod_crab,Pinnotheridae,Decapoda ,Malacostraca,99001,
Pinnixa sayana,decapod_crab,large_decapod,decapod_crab,decapod_crab,Pinnotheridae,Decapoda ,Malacostraca,99002,
